lang,key,before_prefix,official_name,old_text,new_text
en,justina,Justina,Justyna,"Justina exploits openings with skill damage and mobility, quickly pressuring focused targets.","Justyna exploits openings with skill damage and mobility, quickly pressuring focused targets."
en,nia,Nia,NiaH,Nia's burst damage and focusing excel at quickly finishing CC'd targets.,NiaH's burst damage and focusing excel at quickly finishing CC'd targets.
en,coreline,Coreline,Coraline,"Coreline creates entry angles for melee dives with zone utility and structures, setting up favorable openings.","Coraline creates entry angles for melee dives with zone utility and structures, setting up favorable openings."
ja,bernice,バーニス,バニス,バーニスはトラップと妨害力で敵の進入を遮断し、近距離ディーラーの弱点を補います。,バニスはトラップと妨害力で敵の進入を遮断し、近距離ディーラーの弱点を補います。
ja,blair,ブレアー,ブレア,ブレアーは近距離でブルーザーのように戦い、火炎フィールドとスキルで乱戦時に火力を補います。,ブレアは近距離でブルーザーのように戦い、火炎フィールドとスキルで乱戦時に火力を補います。
ja,debi_marlene,デビ&マールレーン,デビー&マーリン,デビ&マールレーンは乱戦での継続火力が強く、前線が開いた後に続いて入る構成に向きます。,デビー&マーリンは乱戦での継続火力が強く、前線が開いた後に続いて入る構成に向きます。
ja,lenore,ルノア,レノア,ルノアは対峙でポーキングとCCを混ぜて敵が先に入りにくくします。,レノアは対峙でポーキングとCCを混ぜて敵が先に入りにくくします。
ja,luke,ルーク,ルク,ルークは1:1圧力とダイブ後継続火力でサイド運用とフォーカス交戦に力を発揮します。,ルクは1:1圧力とダイブ後継続火力でサイド運用とフォーカス交戦に力を発揮します。
ja,rio,リオ,莉央,リオは長射程の通常攻撃の継続火力で前線の後ろから安定してコア火力を担います。,莉央は長射程の通常攻撃の継続火力で前線の後ろから安定してコア火力を担います。
ja,rozzi,ロジー,ロッジ,ロジーはピストルの機動性と短い交戦バーストでCCに掛かった対象を素早く追跡して仕留めます。,ロッジはピストルの機動性と短い交戦バーストでCCに掛かった対象を素早く追跡して仕留めます。
ja,silvia,シルビア,シルヴィア,シルビアは機動性で交戦角を素早く変えながら短い距離でダメージと進入を同時にこなします。,シルヴィアは機動性で交戦角を素早く変えながら短い距離でダメージと進入を同時にこなします。
ja,tsubame,ツバメ,つばめ,ツバメは短射程の遠距離ディーラーですが機動性と瞬間火力で近距離乱戦でのフォーカスを助けます。,つばめは短射程の遠距離ディーラーですが機動性と瞬間火力で近距離乱戦でのフォーカスを助けます。
ja,coreline,コアライン,コラライン,コアラインは広域ユーティリティと設置物で近接突入の角度を作り、味方が有利に入れる状況を整えます。,コララインは広域ユーティリティと設置物で近接突入の角度を作り、味方が有利に入れる状況を整えます。
ja,istvan,イシュトヴァン,イシュトヴァーン,イシュトヴァンは耐久力を活かして味方の突入に続き、長く粘って交戦を続けるブルーザーです。,イシュトヴァーンは耐久力を活かして味方の突入に続き、長く粘って交戦を続けるブルーザーです。
ja,shoichi,ショウイチ,彰一,ショウイチは自分から局面を開けませんが、味方が角を作ると凄まじい機動力とバーストで後衛を消します。,彰一は自分から局面を開けませんが、味方が角を作ると凄まじい機動力とバーストで後衛を消します。
ja,yuki,ユキ,雪,ユキは武器により先行か後追いかが変わりますが、CCとバーストで交戦を主導します。,雪は武器により先行か後追いかが変わりますが、CCとバーストで交戦を主導します。
zhHans,bernice,贝尔妮丝,伯尼斯,贝尔妮丝以陷阱和压制阻断敌方突进，弥补近距离输出者的弱点。,伯尼斯以陷阱和压制阻断敌方突进，弥补近距离输出者的弱点。
zhHans,bihyung,比亨,鼻荆,比亨进入后瞬间火力和聚焦能力强，能快速压迫敌方核心输出。,鼻荆进入后瞬间火力和聚焦能力强，能快速压迫敌方核心输出。
zhHans,celine,塞琳,席琳,塞琳以爆炸物制造大范围压力，在狭窄通道大幅削减敌方血量。,席琳以爆炸物制造大范围压力，在狭窄通道大幅削减敌方血量。
zhHans,debi_marlene,黛比&玛琳,黛比&玛莲,黛比&玛琳在混战中持续输出能力强，擅长在前线打开后跟进。,黛比&玛莲在混战中持续输出能力强，擅长在前线打开后跟进。
zhHans,estelle,艾斯特,艾丝蒂尔,艾斯特是可以同时保护和输出的坦克，一定程度弥补火力空缺。,艾丝蒂尔是可以同时保护和输出的坦克，一定程度弥补火力空缺。
zhHans,garnet,加内特,盖瑞特,加内特坚实抵挡同时以AOE控制开辟进攻角度，适合需要前排的阵容。,盖瑞特坚实抵挡同时以AOE控制开辟进攻角度，适合需要前排的阵容。
zhHans,justina,贾斯蒂娜,尤斯蒂娜,贾斯蒂娜以技能伤害和机动性抓住破绽，快速压迫聚焦目标。,尤斯蒂娜以技能伤害和机动性抓住破绽，快速压迫聚焦目标。
zhHans,laura,劳拉,萝拉,劳拉的机动性和快速突进使她适合作为战士直接压迫敌方远程输出。,萝拉的机动性和快速突进使她适合作为战士直接压迫敌方远程输出。
zhHans,lenox,勒诺克斯持续骚扰和压制,伦诺克斯,勒诺克斯持续骚扰和压制能力强，阻断敌方突进并为队友输出争取时间。,伦诺克斯能力强，阻断敌方突进并为队友输出争取时间。
zhHans,nadine,娜丁,娜町,娜丁在目标和长期交战中累积伤害强，在前线争取时间的阵容中价值高。,娜町在目标和长期交战中累积伤害强，在前线争取时间的阵容中价值高。
zhHans,silvia,西尔维亚快速变换交战角度，,西尔维娅,西尔维亚快速变换交战角度，在近距离同时完成输出和突进。,西尔维娅在近距离同时完成输出和突进。
zhHans,sissela,西塞拉,希瑟拉,西塞拉以远程骚扰和生存力在对峙中削减血量并反击。,希瑟拉以远程骚扰和生存力在对峙中削减血量并反击。
zhHans,sua,苏阿,秀雅,苏阿兼具坚实、控制和持续力，在前方长久抵挡并延续交战。,秀雅兼具坚实、控制和持续力，在前方长久抵挡并延续交战。
zhHans,theodore,提奥多尔,西奥多,提奥多尔通过远程支援和护盾在对峙阵容中提高队友输出的稳定性。,西奥多通过远程支援和护盾在对峙阵容中提高队友输出的稳定性。
zhHans,tsubame,燕子,燕翼,燕子是近距离远程输出，机动性和瞬间火力在近战混战中协助聚焦。,燕翼是近距离远程输出，机动性和瞬间火力在近战混战中协助聚焦。
zhHans,vanya,万雅,万尼亚,万雅以护盾和AOE骚扰反制敌方突进，稳定长期交战。,万尼亚以护盾和AOE骚扰反制敌方突进，稳定长期交战。
zhHans,yumin,柔敏,俞岷,柔敏是技能输出，以中距离骚扰和功能性从前线后方稳定施压。,俞岷是技能输出，以中距离骚扰和功能性从前线后方稳定施压。
zhHans,adriana,阿德里安娜,阿德瑞娜,阿德里安娜以宽广的范围技能掌控特定区域，对闯入之敌造成大量伤害。,阿德瑞娜以宽广的范围技能掌控特定区域，对闯入之敌造成大量伤害。
zhHans,chiara,基亚拉,奇娅拉,基亚拉率先突入，凭借耐久力承受伤害，为队友跟进争取时间。,奇娅拉率先突入，凭借耐久力承受伤害，为队友跟进争取时间。
zhHans,coreline,科雷莱恩,卡洛琳,科雷莱恩通过区域工具和设置物为近战突进创造角度，营造有利的进入时机。,卡洛琳通过区域工具和设置物为近战突进创造角度，营造有利的进入时机。
zhHans,felix,菲利克斯,费利克斯,菲利克斯在队友开团后跟进，凭借高机动性和持续压力死缠烂打。,费利克斯在队友开团后跟进，凭借高机动性和持续压力死缠烂打。
zhHans,haze,黑兹,海因茨,黑兹以远程骚扰消耗敌方血量，待时机成熟突进以爆发伤害终结战斗。,海因茨以远程骚扰消耗敌方血量，待时机成熟突进以爆发伤害终结战斗。
zhHans,hyunwoo,玄宇,玄佑,玄宇以强力开团控制发起战斗，为队友创造集中攻击目标的发起者。,玄佑以强力开团控制发起战斗，为队友创造集中攻击目标的发起者。
zhHans,irem,伊蕾姆,爱琳,伊蕾姆凭借高机动性在战斗中寻找有利角度，以骚扰和辅助支援队伍。,爱琳凭借高机动性在战斗中寻找有利角度，以骚扰和辅助支援队伍。
zhHans,isol,伊索尔,埃索,伊索尔根据武器在近战突进支援和骚扰输出之间灵活切换。,埃索根据武器在近战突进支援和骚扰输出之间灵活切换。
zhHant,bernice,貝爾妮絲,伯尼斯,貝爾妮絲以陷阱和壓制阻斷敵方突進，彌補近距離輸出者的弱點。,伯尼斯以陷阱和壓制阻斷敵方突進，彌補近距離輸出者的弱點。
zhHant,bihyung,比亨,鼻荊,比亨進入後瞬間火力和聚焦能力強，能快速壓迫敵方核心輸出。,鼻荊進入後瞬間火力和聚焦能力強，能快速壓迫敵方核心輸出。
zhHant,celine,塞琳,席琳,塞琳以爆炸物製造大範圍壓力，在狹窄通道大幅削減敵方血量。,席琳以爆炸物製造大範圍壓力，在狹窄通道大幅削減敵方血量。
zhHant,debi_marlene,黛比&瑪琳,黛比&瑪蓮,黛比&瑪琳在混戰中持續輸出能力強，擅長在前線打開後跟進。,黛比&瑪蓮在混戰中持續輸出能力強，擅長在前線打開後跟進。
zhHant,estelle,艾斯特,艾絲黛爾,艾斯特是可以同時保護和輸出的坦克，一定程度彌補火力空缺。,艾絲黛爾是可以同時保護和輸出的坦克，一定程度彌補火力空缺。
zhHant,garnet,加內特,蓋瑞特,加內特堅實抵擋同時以AOE控制開闢進攻角度，適合需要前排的陣容。,蓋瑞特堅實抵擋同時以AOE控制開闢進攻角度，適合需要前排的陣容。
zhHant,justina,賈斯蒂娜,尤斯蒂娜,賈斯蒂娜以技能傷害和機動性抓住破綻，快速壓迫聚焦目標。,尤斯蒂娜以技能傷害和機動性抓住破綻，快速壓迫聚焦目標。
zhHant,laura,勞拉,蘿拉,勞拉的機動性和快速突進使她適合作為戰士直接壓迫敵方遠程輸出。,蘿拉的機動性和快速突進使她適合作為戰士直接壓迫敵方遠程輸出。
zhHant,lenox,勒諾克斯持續騷擾和壓制,倫諾克斯,勒諾克斯持續騷擾和壓制能力強，阻斷敵方突進並為隊友輸出爭取時間。,倫諾克斯能力強，阻斷敵方突進並為隊友輸出爭取時間。
zhHant,silvia,西爾維亞快速變換交戰角度，,希爾維婭,西爾維亞快速變換交戰角度，在近距離同時完成輸出和突進。,希爾維婭在近距離同時完成輸出和突進。
zhHant,sissela,西塞拉,希瑟拉,西塞拉以遠程騷擾和生存力在對峙中削減血量並反擊。,希瑟拉以遠程騷擾和生存力在對峙中削減血量並反擊。
zhHant,sua,蘇阿,秀雅,蘇阿兼具堅實、控制和持續力，在前方長久抵擋並延續交戰。,秀雅兼具堅實、控制和持續力，在前方長久抵擋並延續交戰。
zhHant,theodore,提奧多爾,西奧多,提奧多爾透過遠程支援和護盾在對峙陣容中提高隊友輸出的穩定性。,西奧多透過遠程支援和護盾在對峙陣容中提高隊友輸出的穩定性。
zhHant,tsubame,燕子,青燕,燕子是近距離遠程輸出，機動性和瞬間火力在近戰混戰中協助聚焦。,青燕是近距離遠程輸出，機動性和瞬間火力在近戰混戰中協助聚焦。
zhHant,vanya,萬雅,萬尼亞,萬雅以護盾和AOE騷擾反制敵方突進，穩定長期交戰。,萬尼亞以護盾和AOE騷擾反制敵方突進，穩定長期交戰。
zhHant,yumin,柔敏,俞岷,柔敏是技能輸出，以中距離騷擾和功能性從前線後方穩定施壓。,俞岷是技能輸出，以中距離騷擾和功能性從前線後方穩定施壓。
zhHant,adriana,阿德里安娜,亞莉安娜,阿德里安娜以寬廣的範圍技能掌控特定區域，對闖入之敵造成大量傷害。,亞莉安娜以寬廣的範圍技能掌控特定區域，對闖入之敵造成大量傷害。
zhHant,chiara,基亞拉,琪婭拉,基亞拉率先突入，憑藉耐久力承受傷害，為隊友跟進爭取時間。,琪婭拉率先突入，憑藉耐久力承受傷害，為隊友跟進爭取時間。
zhHant,coreline,科雷萊恩通過區域工具和設置物為近戰突進創造角度，營造有利,卡洛琳,科雷萊恩通過區域工具和設置物為近戰突進創造角度，營造有利的進入時機。,卡洛琳的進入時機。
